id,vehicle_id,location_id,status,created_at,updated_at,deleted_at,start_time,end_time
10618,2,4,ONRENT,2022-11-14 0:00:13,2022-11-14 11:30:12,1st data,2022-11-14 0:00:13,2022-11-14 11:30:12
10685,2,4,OVERDUE,2022-11-14 11:30:12,2022-11-14 11:49:47,,2022-11-14 11:30:12,2022-11-14 11:49:47
10690,2,4,YARD,2022-11-14 11:49:47,2022-11-14 11:49:47,,2022-11-14 11:49:47,2022-11-14 11:49:47
10691,2,4,PENDING,2022-11-14 11:49:47,2022-11-14 13:30:38,,2022-11-14 11:49:47,2022-11-14 13:30:38
10705,2,4,YARD,2022-11-14 13:30:38,2022-11-14 13:31:49,,2022-11-14 13:30:38,2022-11-14 13:31:49
10706,2,4,RELOCATION,2022-11-14 13:31:49,2022-11-14 13:32:34,,2022-11-14 13:31:49,2022-11-14 13:32:34
10707,2,4,YARD,2022-11-14 13:32:34,2022-11-14 13:32:34,,2022-11-14 13:32:34,2022-11-14 13:32:34
10708,2,4,PENDING,2022-11-14 13:32:34,2022-11-14 13:33:36,,2022-11-14 13:32:34,2022-11-14 13:33:36
10709,2,4,YARD,2022-11-14 13:33:36,2022-11-15 0:00:16,,2022-11-14 13:33:36,2022-11-15 0:00:16
110618,2,4,ONRENT,2022-11-14 0:00:13,2022-11-14 11:30:12,,2022-11-14 0:00:13,2022-11-14 11:30:12
110685,2,4,OVERDUE,2022-11-14 11:30:12,2022-11-14 11:49:47,,2022-11-14 11:30:12,2022-11-14 11:49:47
110690,2,4,YARD,2022-11-14 11:49:47,2022-11-14 11:49:47,,2022-11-14 11:49:47,2022-11-14 11:49:47
110691,2,4,PENDING,2022-11-14 11:49:47,2022-11-14 13:30:38,,2022-11-14 11:49:47,2022-11-14 13:30:38
10705,2,4,YARD,2022-11-14 13:30:38,2022-11-14 13:31:49,,2022-11-14 13:30:38,2022-11-14 13:31:49
10706,2,4,RELOCATION,2022-11-14 13:31:49,2022-11-14 13:32:34,,2022-11-14 13:31:49,2022-11-14 13:32:34
10707,2,4,YARD,2022-11-14 13:32:34,2022-11-14 13:32:34,,2022-11-14 13:32:34,2022-11-14 13:32:34
10708,2,4,PENDING,2022-11-14 13:32:34,2022-11-14 13:33:36,,2022-11-14 13:32:34,2022-11-14 13:33:36
10709,2,4,YARD,2022-11-14 13:33:36,2022-11-15 0:00:16,,2022-11-14 13:33:36,2022-11-15 0:00:16
10618,2,4,ONRENT,2022-11-14 0:00:13,2022-11-14 11:30:12,,2022-11-14 0:00:13,2022-11-14 11:30:12
